,Unnamed: 0,Time Desc,jan1,jan2,jan3,jan4,jan5,jan6,jan7,jan8,jan9,jan10,jan11,jan12,jan13,jan14,jan15,jan16,jan17,jan18,jan19,jan20,jan21,jan22,jan23,jan24,jan25,jan26,jan27,jan28,jan29,jan30,jan31
31,31,07:45-08:00,4281.186464,4263.900326,3596.382804,3334.6756,3888.795655,2037.419666,3167.8319850000003,3328.942584,3423.487539,2888.639049,3226.848155,3082.602265,3290.303997,2932.451317,3815.9254509999996,3626.440661,3544.204236,3427.7471490000003,3486.851304,3718.206714,3490.324893,3410.4194469999998,3456.083898,3365.2618979999997,3350.386299,3403.121196,3221.070773,3465.1078090000005,3506.64689,3381.891356,3673.406614
32,32,08:00-08:15,4539.15758,4342.388333,4027.456976,3735.98905,4135.627693,2298.69377,3016.365916,3320.061689,3258.912298,2789.8506,3068.812077,3146.697944,3191.01638,2981.862134,3963.674293,3619.6238729999995,3342.536624,3154.724325,3200.5276329999997,3804.6923030000003,3277.327005,3574.516654,3669.9960920000003,3070.3787260000004,3244.408161,3207.832075,3266.761853,3430.7174579999996,3374.835617,3482.7917,3821.658998
33,33,08:15-08:30,4460.730756,4300.121861,4012.309675,3748.8961649999997,4197.173496,3057.731044,3042.1294359999997,2950.5326800000003,2965.430678,2737.873933,2868.449001,3033.64684,2972.553242,2876.571119,3934.2888270000003,3733.951929,3312.2768539999997,3184.0005,3262.609833,3789.0459049999995,3151.208241,3836.5135609999998,3609.46299,2963.144038,3133.539028,3138.625432,3235.702268,3412.852496,3310.241318,3368.8512100000003,3911.206437
34,34,08:30-08:45,4371.105512,4243.449965,3992.709637,3690.7697630000002,4047.5322380000002,3305.171859,3373.9052490000004,2975.5379550000002,2812.302138,2698.855752,2670.727922,2897.784754,3028.0014960000003,2783.178957,3891.354722,3919.5077479999995,3269.953916,3326.9995670000003,3217.938459,3764.4262659999995,3067.917593,3719.0034729999998,3500.7196259999996,2843.784475,3066.242952,3187.7304489999997,3160.5317579999996,3397.690724,3278.9406059999997,3312.624326,3802.1414619999996
35,35,08:45-09:00,4233.075836,4128.833562,4014.017517,3705.1305009999996,4001.6743380000003,3342.392406,3531.879593,3118.132063,3060.686278,2640.145555,2859.788728,2869.954754,3117.164524,2537.0887789999997,3820.706517,3833.594485,3248.302189,3318.675143,3204.473778,3712.493539,3045.618904,3559.4446799999996,3439.423187,3075.061674,3184.034,3126.399778,3104.348386,3315.5940539999997,3257.281725,3287.064199,3752.935632
36,36,09:00-09:15,4227.3281369999995,4164.468733,3432.095598,3982.892128,4280.70454,3518.490178,3428.363553,3072.609278,2992.366405,2578.298623,2825.0816,2786.182381,3018.786818,2740.87338,3728.1115590000004,3799.590552,3156.059874,3314.911704,3135.341262,3547.001921,3267.9251289999997,3489.6714899999997,3523.6461340000005,2864.049225,3119.940978,2972.726096,3121.382329,3267.762078,3234.07452,3276.804425,3696.8440600000004
37,37,09:15-09:30,4212.795788,3970.597026,3572.6735,3890.2098909999995,4278.457327,3572.9845560000003,3297.374207,3019.7665859999997,2953.870436,2507.058649,2770.192596,2756.2359079999997,2991.686818,2796.451118,3299.777399,3520.6756659999996,3121.2668129999997,3152.5596579999997,3087.998016,3389.054507,3220.171053,3431.524611,3378.201701,2900.770322,3077.261943,2839.6183079999996,2818.62033,3212.9710760000003,3185.646882,3308.191804,3561.802864
38,38,09:30-09:45,4090.765788,3937.9189439999996,3896.2408880000003,4098.99803,4436.677618,3498.7873590000004,3141.637774,2787.814379,2915.510966,2348.8562660000002,2895.334336,2739.8576350000003,2960.377626,2711.297809,3301.052252,3431.05882,3054.3374440000002,2811.7831539999997,3053.1715280000003,3141.670947,3165.401163,3220.3793170000004,3057.843671,2910.9531850000003,3026.491638,2680.858546,2851.656897,2910.8464480000002,3086.692232,3221.199176,3389.3930490000002
39,39,09:45-10:00,3939.6752119999996,3766.4579049999998,3907.8448399999997,4008.975774,4345.893768,3310.945304,2903.9492370000003,2703.557708,2507.42736,1749.053621,2724.657304,2733.400033,2922.331426,2666.013769,2934.119461,3097.4439859999998,2969.504992,2435.979679,2245.6775989999996,3074.4581120000003,2984.1988969999998,3084.173564,2877.443968,2949.063225,2962.383937,2684.6369329999998,2853.1613230000003,2594.918187,2833.853642,3133.975607,3282.0633510000002
40,40,10:00-10:15,3645.5003509999997,3551.028501,3536.1047329999997,3882.0194079999997,3845.424567,2918.4278719999998,2704.478225,2508.27857,2342.219376,2360.702523,2817.236938,2695.762022,2614.500414,2823.376819,3263.424752,3238.5304920000003,2725.8515079999997,2215.9297100000003,2846.346974,2965.995354,2824.321851,3086.294269,2617.918759,2842.760813,2181.045961,2651.212693,2733.307777,2540.758215,2413.606956,2937.6328350000003,3179.567913
41,41,10:15-10:30,3626.260351,3533.1122060000002,3473.79102,3918.122014,3808.5899259999997,2784.809439,2949.5599079999997,2584.433077,2124.4876719999997,2322.667731,2987.968966,2675.218679,2584.535732,2594.016971,3572.268487,3271.050491,2557.965848,2429.2048059999997,3023.228372,2904.2331510000004,2810.651851,3171.096854,2105.129547,2803.001823,2684.419389,2613.729743,2667.973739,2633.155054,2367.891595,2960.767667,3157.898794
42,42,10:30-10:45,3413.990351,3397.9227920000003,3572.185143,3825.6350700000003,3554.8228950000002,2683.695698,2945.480713,2564.303077,2352.952287,2466.7579960000003,2923.318687,2638.094245,2723.503498,2553.0246309999998,3659.0884170000004,3284.863233,2426.2314309999997,2537.953802,2977.617746,2886.093151,2774.998266,3267.9665019999998,2717.515168,2648.343471,2833.085702,2595.732654,2656.083173,2598.988755,2635.223193,2933.2560949999997,3241.3382
43,43,10:45-11:00,3203.580351,3316.3019510000004,3462.243823,3749.5466890000002,3514.5588789999997,2616.5142960000003,2858.1807129999997,2742.651704,2335.802052,2550.249239,3091.650642,2619.324245,2748.022622,2405.775518,3688.6433979999997,3329.048057,2405.161744,2755.554042,3021.897027,2873.343151,2791.488291,2916.643044,2801.263128,2028.377082,2805.992846,2639.345154,2623.579771,2575.2513559999998,2533.3956239999998,2890.035553,3240.2556219999997
44,44,11:00-11:15,2640.1543850000003,2927.429131,3324.683823,3467.406689,3114.777051,2599.839348,2809.915812,2692.990508,2389.522247,2284.389858,3363.6116979999997,3058.194245,2861.1615269999998,2654.192858,3870.067071,3767.812744,2942.20838,2562.0666899999997,2968.934132,3115.499491,3805.2550420000002,3554.82335,3325.980408,2471.815402,3076.106927,2810.884131,2650.4504420000003,2638.506216,2431.437545,3104.90379,3203.224977
